directorio,secuencia_p,orden,hogar,regis,per,p3271,p6040,p3042,inglabo,id_registro_original
8436543,1,1,1,10,2025,1,42,8.0,4000000.0,1434
8436544,1,1,1,10,2025,1,25,10.0,300000.0,1436
8436545,1,1,1,10,2025,1,77,8.0,,1437
8436547,1,2,1,10,2025,2,39,10.0,5000000.0,1444
8436550,1,2,1,10,2025,2,51,10.0,6000000.0,1451
8436550,1,3,1,10,2025,2,21,10.0,1623000.0,1452
8436551,1,1,1,10,2025,2,33,5.0,400000.0,1453
8436554,1,3,1,10,2025,2,49,10.0,3800000.0,1461
8436556,1,1,1,10,2025,2,74,8.0,,1466
8436557,1,1,1,10,2025,1,63,5.0,,1467
8436559,1,1,1,10,2025,2,61,12.0,9500000.0,1472
8436560,1,1,1,10,2025,1,65,5.0,720000.0,1473
8436564,1,1,1,10,2025,2,41,3.0,1500000.0,1484
8436569,1,2,1,10,2025,2,27,8.0,3000000.0,1490
8436571,1,4,1,10,2025,1,4,1.0,,1498
8436572,1,3,1,10,2025,2,19,5.0,,1501
8436575,1,2,1,10,2025,1,33,9.0,1423500.0,1507
8436576,1,1,1,10,2025,2,72,5.0,,1509
8436576,1,2,1,10,2025,2,95,3.0,,1510
8436580,1,1,1,10,2025,1,83,5.0,,1517
8436581,1,3,1,10,2025,2,21,10.0,1623000.0,1520
8436581,1,4,1,10,2025,1,17,5.0,,1521
8436582,1,1,1,10,2025,1,34,11.0,9000000.0,1522
8436582,1,2,1,10,2025,2,29,11.0,8000000.0,1523
8436583,1,1,1,10,2025,2,35,10.0,2500000.0,1525
8436583,1,2,1,10,2025,1,41,10.0,,1526
8436583,1,3,1,10,2025,2,23,10.0,3000000.0,1527
8436584,1,1,1,10,2025,1,35,12.0,8000000.0,1528
8436584,1,2,1,10,2025,2,34,12.0,,1529
8436587,1,1,1,10,2025,2,32,5.0,1500000.0,1538
8436588,1,2,1,10,2025,2,9,3.0,,1542
8436590,1,1,1,10,2025,2,51,10.0,775000.0,1543
8436590,1,2,1,10,2025,1,43,5.0,775000.0,1544
8436591,1,1,1,10,2025,1,66,8.0,,1547
8436591,1,2,1,10,2025,2,60,5.0,,1548
