directorio,secuencia_p,orden,hogar,regis,per,p3271,p6040,p3042,inglabo,id_registro_original
8076017,1,3,1,10,2024,1,20,4.0,900000.0,42753
8076589,1,1,1,10,2024,1,34,5.0,1300000.0,44212
8055977,1,1,1,10,2024,2,35,10.0,600000.0,40367
8046108,1,1,1,10,2024,1,51,8.0,500000.0,18723
8078994,1,1,1,10,2024,1,51,1.0,700000.0,49621
8052114,1,1,1,10,2024,1,54,3.0,1450000.0,31877
8056311,1,2,1,10,2024,2,67,3.0,1800000.0,41043
8048422,1,3,1,10,2024,1,42,10.0,2600000.0,23650
8041856,1,1,1,10,2024,2,72,3.0,500000.0,8441
8079761,1,3,1,10,2024,1,27,6.0,1600000.0,51478
8043499,1,7,1,10,2024,2,25,8.0,0.0,12161
8083800,1,1,1,10,2024,1,46,12.0,7000000.0,59768
8053010,1,3,1,10,2024,2,19,5.0,50000.0,34204
8045239,1,1,1,10,2024,1,69,3.0,400000.0,16748
8081074,1,1,1,10,2024,1,59,3.0,500000.0,54357
8041256,1,1,1,10,2024,2,54,5.0,1480000.0,7180
8076879,1,1,1,10,2024,1,20,5.0,1400000.0,44888
8082896,1,2,1,10,2024,1,29,5.0,550000.0,57861
8083727,1,2,1,10,2024,2,48,5.0,1850000.0,59632
8080999,1,1,1,10,2024,1,58,4.0,1117000.0,54183
8047538,1,1,1,10,2024,1,26,10.0,3000000.0,21796
8046499,1,3,1,10,2024,1,22,5.0,1400000.0,19687
8047774,1,1,1,10,2024,1,63,4.0,560000.0,22343
8076029,1,2,1,10,2024,1,26,5.0,900000.0,42797
8050536,1,2,1,10,2024,1,31,5.0,2000000.0,28246
8053111,1,1,1,10,2024,1,30,8.0,1300000.0,34426
8042863,1,1,1,10,2024,2,39,10.0,18000000.0,10726
8083032,1,1,1,10,2024,1,62,11.0,6800000.0,58171
8050493,3,1,3,10,2024,1,56,3.0,500000.0,28100
8041906,1,1,1,10,2024,1,42,9.0,1920313.0,8569
8081336,1,1,1,10,2024,1,35,5.0,1000000.0,54887
8077976,1,2,1,10,2024,1,28,10.0,535000.0,47357
8084743,1,3,1,10,2024,1,23,6.0,700000.0,61817
8050129,1,3,1,10,2024,1,73,3.0,1300000.0,27167
8054910,1,1,1,10,2024,2,43,5.0,1450000.0,38343
8050762,1,2,1,10,2024,2,59,5.0,1300000.0,28766
8080744,1,2,1,10,2024,2,35,5.0,1350000.0,53671
8053034,1,2,1,10,2024,2,59,5.0,1300000.0,34274
8083860,1,1,1,10,2024,2,54,3.0,400000.0,59908
8045463,1,2,1,10,2024,1,22,3.0,1000000.0,17345
8054308,1,1,1,10,2024,2,56,6.0,400000.0,36953
8051869,1,1,1,10,2024,2,33,11.0,1400000.0,31291
8044247,1,1,1,10,2024,2,54,1.0,450000.0,13966
8047425,1,1,1,10,2024,1,55,3.0,1500000.0,21603
8055129,1,3,1,10,2024,2,40,10.0,1600000.0,38759
8084496,1,1,1,10,2024,2,34,5.0,1300000.0,61309
8045416,1,2,1,10,2024,1,38,3.0,1600000.0,17203
8051877,1,1,1,10,2024,2,52,5.0,1000000.0,31308
8043354,1,1,1,10,2024,1,54,4.0,700000.0,11768
8054954,1,1,1,10,2024,2,42,10.0,1500000.0,38434
8078917,1,3,1,10,2024,1,22,10.0,1000000.0,49442
8043060,1,1,1,10,2024,1,44,3.0,1000000.0,11053
8045619,1,1,1,10,2024,1,64,3.0,900000.0,17736
8048115,1,2,1,10,2024,2,43,5.0,1300000.0,23078
8080583,1,1,1,10,2024,1,53,5.0,5000000.0,53367
8041480,1,1,1,10,2024,1,49,5.0,1300000.0,7663
8055005,1,1,1,10,2024,1,44,3.0,1200000.0,38538
8048475,1,1,1,10,2024,2,28,8.0,1300000.0,23755
8047212,1,2,1,10,2024,2,59,3.0,200000.0,21203
8083096,1,1,1,10,2024,2,51,9.0,500000.0,58329
8055225,1,1,1,10,2024,2,36,4.0,600000.0,39015
8051376,1,2,1,10,2024,2,25,10.0,1300000.0,30029
8049754,1,1,1,10,2024,2,37,5.0,1300000.0,26275
8052382,1,1,1,10,2024,1,70,1.0,1500000.0,32632
8043201,1,1,1,10,2024,1,59,11.0,4800000.0,11386
8050528,1,1,1,10,2024,2,46,4.0,1300000.0,28217
8053191,1,1,1,10,2024,1,41,5.0,1968000.0,34573
8081266,1,2,1,10,2024,1,46,5.0,1300000.0,54739
8079128,1,1,1,10,2024,1,50,3.0,900000.0,49917
8056343,1,1,1,10,2024,2,42,8.0,6500000.0,41112
8083292,1,1,1,10,2024,1,32,5.0,600000.0,58762
8078786,1,1,1,10,2024,1,74,10.0,4700000.0,49158
8079582,1,1,1,10,2024,2,67,5.0,1250000.0,51006
8052591,1,1,1,10,2024,1,54,4.0,1500000.0,33186
8048717,1,2,1,10,2024,1,71,1.0,300000.0,24202
8055218,1,1,1,10,2024,1,41,5.0,1200000.0,38980
8045574,1,1,1,10,2024,2,26,10.0,3700000.0,17651
8053352,1,2,1,10,2024,1,34,5.0,1400000.0,34961
8040755,1,2,1,10,2024,2,38,10.0,2000000.0,5956
