per;mes;orden;hogar;p3271;p6040;p6050;p6083;p3042;inglabo;rama2d_r4
2024;12;1;1;1;63;1;2;10.0;8000000.0;71.0
2024;12;1;1;2;40;1;3;5.0;1300000.0;13.0
2024;12;1;1;2;27;1;2;4.0;180000.0;47.0
2024;12;1;1;1;68;1;3;3.0;1500000.0;45.0
2024;12;1;1;1;47;1;3;10.0;3500000.0;73.0
2024;12;4;1;2;35;6;2;8.0;400000.0;81.0
2024;12;3;1;2;35;3;1;10.0;1300000.0;84.0
2024;12;4;1;1;21;6;2;10.0;800000.0;47.0
2024;12;1;1;2;41;1;2;10.0;250000.0;47.0
2024;12;1;1;2;29;1;2;5.0;1400000.0;55.0
2024;12;1;1;2;40;1;2;10.0;2000000.0;64.0
2024;12;1;1;2;35;1;2;8.0;100000.0;96.0
2024;12;3;1;2;52;5;3;5.0;1300000.0;96.0
2024;12;2;1;2;31;2;2;13.0;4560000.0;86.0
2024;12;1;1;1;29;1;2;8.0;800000.0;95.0
2024;12;1;1;1;28;1;2;4.0;1300000.0;52.0
2024;12;2;1;1;41;6;2;8.0;2900000.0;84.0
2024;12;1;1;1;30;1;2;5.0;1800000.0;96.0
2024;12;2;1;1;29;3;1;5.0;550000.0;95.0
2024;12;2;1;2;55;2;1;5.0;1300000.0;97.0
2024;12;5;1;2;22;3;1;5.0;1200000.0;47.0
2024;12;1;1;2;59;1;3;5.0;1000000.0;95.0
2024;12;1;1;1;40;1;2;5.0;2700000.0;42.0
2024;12;2;1;1;49;6;3;5.0;100000.0;47.0
2024;12;1;1;1;53;1;3;5.0;1350000.0;93.0
2024;12;1;1;2;42;1;2;8.0;1300000.0;84.0
2024;12;1;1;1;29;1;2;4.0;1200000.0;49.0
2024;12;4;1;1;57;6;1;5.0;1300000.0;46.0
2024;12;1;1;2;52;1;2;5.0;1472000.0;88.0
2024;12;2;1;2;35;2;2;8.0;600000.0;96.0
2024;12;1;1;1;45;1;2;5.0;1200000.0;47.0
2024;12;2;1;2;27;3;1;5.0;2000000.0;70.0
2024;12;2;1;1;37;3;1;8.0;2100000.0;56.0
2024;12;1;1;1;50;1;2;1.0;850000.0;41.0
2024;12;7;1;2;38;9;2;10.0;4800000.0;85.0
2024;12;1;1;2;68;1;3;3.0;500000.0;47.0
2024;12;2;1;2;53;2;2;10.0;2800000.0;85.0
2024;12;6;1;2;21;13;2;9.0;520000.0;56.0
2024;12;3;1;1;26;3;1;5.0;1300000.0;84.0
2024;12;5;1;1;23;3;1;5.0;1300000.0;10.0
2024;12;2;1;2;50;2;2;5.0;1900000.0;47.0
2024;12;2;1;1;30;2;2;10.0;1300000.0;86.0
2024;12;1;1;2;62;1;3;8.0;700000.0;81.0
2024;12;1;1;1;47;1;3;1.0;160000.0;49.0
2024;12;2;1;1;31;2;2;3.0;1300000.0;41.0
2024;12;2;1;2;34;2;2;10.0;1000000.0;82.0
